Carimbo de data/hora,otica,Data,servicos,valor
01/02/2023 11:41:09,laboratorio-universo,01/02/2023,fechamento anterior,654
01/02/2023 11:41:09,sao-braz-ponto-final,01/02/2023,fechamento anterior,393
01/02/2023 11:41:09,otica-clauss,01/02/2023,fechamento anterior,16
01/02/2023 11:41:09,otica-perfil,01/02/2023,fechamento anterior,72
01/02/2023 11:41:09,otica-zonatto,01/02/2023,fechamento anterior,98
01/02/2023 11:41:09,otica-visoluz,01/02/2023,fechamento anterior,95
01/02/2023 11:41:09,outlet-dos-oculos,01/02/2023,fechamento anterior,515
01/02/2023 11:41:09,exame-visao,01/02/2023,fechamento anterior,244
01/02/2023 11:41:09,vista-alegre,01/02/2023,fechamento anterior,76
01/02/2023 11:41:09,otica-malosti,01/02/2023,fechamento anterior,757
01/02/2023 11:41:09,otica-marine,01/02/2023,fechamento anterior,400
01/02/2023 11:41:09,estilo-visao,01/02/2023,fechamento anterior,43
01/02/2023 11:41:09,preco-popular-posto,01/02/2023,fechamento anterior,176
01/02/2023 11:41:09,preco-popular-portao,01/02/2023,fechamento anterior,261
01/02/2023 11:41:09,visao-araucaria,01/02/2023,fechamento anterior,233
01/02/2023 11:41:09,preco-popular-duda-loja3,01/02/2023,1 conserto,16
01/02/2023 12:05:17,laboratorio-universo,01/02/2023,1 solda + 3 molas,76
01/02/2023 14:06:26,opticolor,01/02/2023,1 conserto,16
01/02/2023 14:23:54,klim-otica,01/02/2023,1 mola,20
01/02/2023 14:34:56,otica-perfil,01/02/2023,1 conserto,16
01/02/2023 14:51:17,otica-malosti,01/02/2023,1 conserto,16
01/02/2023 18:09:27,otica-visoluz,01/02/2023,1 ajuste,10
01/02/2023 18:34:54,visao-araucaria,01/02/2023,os 1927 1 ajuste,10
01/02/2023 19:16:38,otica-anita,01/02/2023,1 mola,20
01/02/2023 19:26:40,otica-malosti,01/02/2023,1 mola + 2 ajustes,40
02/02/2023 10:09:19,otica-miraluz,02/02/2023,1 ajuste,6
02/02/2023 10:14:39,otica-marin,02/02/2023,1 ajuste,10
02/02/2023 10:29:26,preco-popular-duda-loja3,02/02/2023,1 solda,16
02/02/2023 14:00:58,top-vision,02/02/0023,1 mola,20
02/02/2023 14:10:20,otica-marine,02/02/0023,1 solda + 1 peça,18
02/02/2023 15:27:29,otica-miraluz,02/02/0023,1 solda,16
02/02/2023 17:47:53,otica-visiolux,02/02/0023,1 ajuste,10
02/02/2023 18:43:04,otica-visiolux,02/02/0023,1 ajuste,10
02/02/2023 19:22:07,parque-otica,02/02/0023,1 solda,16
02/02/2023 19:49:27,outlet-dos-oculos,02/02/0023,2 molas + 1 ajuste + 1 conserto,66
03/02/2023 09:27:14,otica-visoluz,02/02/0023,3 soldas + 2 peças,52
03/02/2023 11:33:45,outlet-dos-oculos,03/02/0023,1 conserto,16
03/02/2023 11:50:21,outlet-dos-oculos,03/02/0023,1 mola,20
03/02/2023 12:17:21,otica-sao-braz,03/02/0023,1 mola,20
03/02/2023 13:56:32,otica-visiolux,03/02/0023,1 mola,20
03/02/2023 14:00:30,parque-otica,03/02/0023,1 mola,20
03/02/2023 14:09:20,opticolor,03/02/0023,1 conserto,16
03/02/2023 15:09:38,otica-anita,03/02/0023,1 mola,20
03/02/2023 16:24:03,otica-visoluz,03/02/0023,1 conserto,16
03/02/2023 18:54:37,otica-sao-braz,03/02/0023,1 conserto,16
04/02/2023 08:50:06,exame-visao,04/02/0023,1 mola,20
04/02/2023 09:16:53,sao-braz-orleans,04/02/0023,1 mola,20
04/02/2023 09:36:01,outlet-dos-oculos,04/02/0023,1 conserto + 1 peça,18
04/02/2023 10:11:37,otica-visiolux,04/02/0023,1 mola + 1 ajuste,30
04/02/2023 10:56:23,otica-zonatto,04/02/0023,1 solda,16
04/02/2023 11:06:21,otica-marine,04/02/0023,1 ajuste,10
06/02/2023 08:51:41,opticolor,04/02/0023,1 conserto + 1 limpeza,26
06/02/2023 08:51:55,otica-ampla-visao,04/02/0023,1 solda,16
06/02/2023 08:52:11,otica-anita,04/02/0023,2 molas,40
06/02/2023 08:52:26,laboratorio-universo,04/02/0023,2 soldas,32
06/02/2023 08:52:40,otica-teffe,04/02/0023,1 limpeza,10
06/02/2023 08:52:55,klim-otica,04/02/0023,1 conserto + 1 peça,18
06/02/2023 16:09:41,top-vision,06/02/0023,1 mola,20
06/02/2023 16:13:53,opticolor,06/02/0023,1 mola,20
06/02/2023 16:37:06,parque-otica,06/02/0023,1 mola,20
06/02/2023 16:46:56,otica-prado,06/02/0023,1 mola,20
06/02/2023 17:57:24,preco-pop-fazenda,06/02/0023,1 mola + 1 solda,36
06/02/2023 18:34:51,otica-teffe,06/02/0023,1 solda,16
06/02/2023 18:44:47,otica-ampla-visao,06/02/0023,1 solda,16
06/02/2023 19:20:35,outlet-dos-oculos,06/02/0023,2 molas + 1 solda + 1 ajuste,66
06/02/2023 19:27:00,parque-otica,06/02/0023,2 molas,40
07/02/2023 06:58:15,otica-anita,06/02/0023,1 mola + 1 ajuste,24
07/02/2023 07:12:37,otica-miraluz,06/02/0023,1 mola,20
07/02/2023 07:53:35,otica-marine,06/02/0023,2 ajustes,20
07/02/2023 10:40:05,laboratorio-universo,07/02/0023,1 mola + 1 solda + 1 conserto,56
07/02/2023 10:44:56,otica-marine,07/02/0023,1 mola + 1 solda,36
07/02/2023 12:15:06,otica-sao-braz,07/02/0023,2 consertos + 2 peças,36
07/02/2023 12:26:51,outlet-dos-oculos,07/02/0023,1 ponteira + 1 ajuste,22
07/02/2023 13:42:23,otica-central,07/02/0023,1 conserto,16
07/02/2023 14:59:04,opticolor,07/02/0023,1 conserto,16
07/02/2023 15:02:04,otica-teffe,07/02/0023,1 ajuste,10
07/02/2023 17:35:54,otica-visiolux,07/02/0023,1 conserto,16
07/02/2023 17:46:00,outlet-dos-oculos,07/02/0023,1 solda,16
07/02/2023 18:20:09,parque-otica,07/02/0023,1 mola,20
07/02/2023 18:31:47,outlet-dos-oculos,07/02/0023,1 conserto,16
07/02/2023 18:38:24,otica-prado,07/02/0023,1 mola,20
07/02/2023 18:46:45,otica-visiolux,07/02/0023,1 mola,20
07/02/2023 19:00:26,exame-visao,07/02/0023,1 mola,20
07/02/2023 19:21:24,otica-zonatto,07/02/0023,1 solda,16
08/02/2023 09:23:57,otica-anita,07/02/0023,1 mola+ 1 solda + 1 peça,38
08/02/2023 09:24:11,otica-perfil,07/02/0023,2 soldas,32
08/02/2023 10:56:40,otica-miraluz,08/02/0023,1 mola + 1 solda,36
08/02/2023 11:09:15,otica-teffe,08/02/0023,1 solda,16
08/02/2023 11:54:00,preco-popular-duda-loja3,08/02/0023,1 mola + 2 soldas,56
08/02/2023 12:17:38,laboratorio-universo,08/02/0023,3 molas,60
08/02/2023 14:32:59,opticolor,08/02/0023,1 mola,20
08/02/2023 15:05:26,otica-teffe,08/02/0023,1 mola,20
08/02/2023 15:25:23,otica-central,08/02/0023,1 conserto,16
08/02/2023 15:38:56,otica-marine,08/02/0023,1 ponteira + 2 ajustes + 1 paraf,36
08/02/2023 18:05:21,otica-miraluz,08/02/0023,1 solda,16
08/02/2023 18:51:52,exame-visao,08/02/0023,1 mola,20
08/02/2023 19:15:49,otica-prado,08/02/0023,1 solda,16
08/02/2023 19:23:34,otica-ampla-visao,08/02/0023,1 conserto,16
08/02/2023 19:45:35,outlet-dos-oculos,08/02/0023,1 mola + 1 conserto,36
08/02/2023 19:46:30,outlet-dos-oculos,08/02/0023,1 mola,20
09/02/2023 11:23:23,preco-popular-duda-loja3,09/02/0023,1 solda + 1 conserto + 1 peça,34
09/02/2023 12:32:44,otica-marine,09/02/0023,2 ajustes,20
09/02/2023 13:25:17,otica-malosti,09/02/0023,1 par de haste,25
09/02/2023 14:21:39,otica-ampla-visao,09/02/0023,1 ajuste,12
09/02/2023 15:25:25,preco-pop-fazenda,09/02/0023,1 solda + 1 peça,20
09/02/2023 16:39:13,preco-pop-fazenda,09/02/0023,1 mola,20
09/02/2023 18:44:48,otica-sao-braz,09/02/0023,1 mola,20
09/02/2023 18:57:27,otica-sao-braz,09/02/0023,1 conserto,16
10/02/2023 09:07:27,otica-malosti,10/02/0023,1 solda,16
10/02/2023 11:21:08,otica-miraluz,10/02/0023,2 soldas + 1 mola,52
10/02/2023 12:34:17,laboratorio-universo,10/02/0023,1 conserto + 1 peça,18
10/02/2023 14:01:46,otica-anita,10/02/0023,1 mola,20
10/02/2023 14:07:47,otica-marine,10/02/0023,1 ajuste,10
10/02/2023 14:47:42,otica-teffe,10/02/0023,1 solda,16
10/02/2023 16:30:53,visao-araucaria,10/02/0023,os 1981 1 conserto + os 1978 1 conserto + 1peça + os 1975 1 mola,54
10/02/2023 19:12:43,klim-otica,10/02/0023,1 solda + 1 mola,36
10/02/2023 19:17:18,otica-perfil,10/02/0023,1 parafuso,4
11/02/2023 09:26:25,otica-teffe,11/02/0023,1 conserto,16
11/02/2023 10:07:02,otica-visiolux,11/02/0023,1 ajuste + 1 mola,30
13/02/2023 08:58:24,otica-malosti,11/02/0023,1 conserto,16
13/02/2023 08:58:42,otica-anita,11/02/0023,1 solda,16
13/02/2023 08:59:01,outlet-dos-oculos,11/02/0023,1 solda + 1 mola,36
13/02/2023 08:59:23,otica-miraluz,11/02/0023,2 soldas + 1 paraf,34
13/02/2023 10:48:21,otica-marin,13/02/0023,1 solda + 1 conserto,32
13/02/2023 10:50:52,preco-popular-duda-loja3,13/02/0023,2 soldas,32
13/02/2023 13:00:18,estilo-visao,13/02/0023,1 conserto,16
13/02/2023 13:25:29,otica-central,13/02/0023,1 conserto,16
13/02/2023 14:19:09,otica-zonatto,13/02/0023,1 mola,20
13/02/2023 15:23:28,otica-sao-braz,13/02/0023,1 conserto + 1 peça,18
13/02/2023 17:56:04,preco-pop-fazenda,13/02/0023,1 par de haste,25
13/02/2023 18:09:50,otica-ampla-visao,13/02/0023,1 ajuste,10
13/02/2023 18:48:04,otica-miraluz,13/02/0023,1 conserto,16
13/02/2023 19:13:32,vista-alegre,13/02/0023,1 conserto + 1 peça,18
13/02/2023 19:24:17,otica-zonatto,13/02/0023,1 mola,20
14/02/2023 07:33:34,exame-visao,13/02/0023,1 mola + 1 par de haste,45
14/02/2023 09:25:53,laboratorio-universo,14/02/0023,2 molas,40
14/02/2023 10:45:11,preco-popular-duda-loja3,14/02/0023,1 solda + 1 conserto,32
14/02/2023 13:46:06,opticolor,14/02/0023,1 mola,20
14/02/2023 13:53:28,otica-teffe,14/02/0023,1 mola + 1 paraf,25
14/02/2023 16:54:46,otica-visiolux,14/02/0023,1 mola + 2 paraf,24
14/02/2023 17:44:16,preco-pop-fazenda,14/02/0023,1 mola,20
14/02/2023 19:08:11,sao-braz-orleans,14/02/0023,2 molas,40
14/02/2023 19:42:47,otica-marin,14/02/0023,1 conserto + 1 peça,18
15/02/2023 07:28:47,exame-visao,14/02/0023,1 mola,20
15/02/2023 07:29:00,outlet-dos-oculos,14/02/0023,1 conserto,16
15/02/2023 09:09:53,laboratorio-universo,14/02/0023,2 molas,40
15/02/2023 10:48:01,otica-prado,15/02/0023,1 conserto,16
15/02/2023 11:17:24,otica-clauss,15/02/0023,1 mola,20
15/02/2023 13:46:31,preco-popular-duda-loja3,15/02/0023,1 ajuste,10
15/02/2023 16:08:31,preco-pop-fazenda,15/02/0023,1 ponte anatomica,12
15/02/2023 16:09:09,outlet-dos-oculos,15/02/0023,1 mola,20
15/02/2023 16:25:11,otica-ampla-visao,15/02/0023,1 conserto,16
15/02/2023 17:38:33,otica-visoluz,15/02/0023,2 consertos,32
15/02/2023 18:38:44,otica-ampla-visao,15/02/0023,1 mola,20
15/02/2023 18:43:58,otica-malosti,15/02/0023,1 mola,20
15/02/2023 19:18:54,laboratorio-universo,15/02/0023,4 molas + 3 consertos + 2 peças,132
16/02/2023 07:43:21,exame-visao,15/02/0023,1 tirar ar,25
16/02/2023 12:11:09,preco-popular-duda-loja3,16/02/0023,1 mola,20
16/02/2023 13:39:58,otica-zonatto,16/02/0023,1 mola,20
16/02/2023 13:53:18,vista-alegre,16/02/0023,1 conserto + 1 peça,20
16/02/2023 14:20:27,parque-otica,16/02/0023,1 solda,16
16/02/2023 18:30:54,otica-visiolux,16/02/0023,1 conserto,16
16/02/2023 18:59:58,opticolor,16/02/0023,1 solda,16
16/02/2023 19:06:39,outlet-dos-oculos,16/02/0023,1 mola,20
16/02/2023 19:24:59,preco-pop-fazenda,16/02/0023,1 solda,16
17/02/2023 07:28:57,exame-visao,16/02/0023,1 par de haste,25
17/02/2023 09:14:35,laboratorio-universo,16/02/0023,1 solda + 1peça,18
17/02/2023 11:25:03,otica-prado,14/02/0023,1 mola,20
17/02/2023 13:32:29,otica-marin,17/02/0023,1 ajuste,10
17/02/2023 13:59:30,opticolor,17/02/0023,1 conserto,16
17/02/2023 14:40:48,otica-visiolux,17/02/0023,1 conserto,16
17/02/2023 16:21:13,otica-visoluz,17/02/0023,1 mola,20
17/02/2023 17:48:00,laboratorio-universo,17/02/0023,1 mola,20
17/02/2023 18:56:46,otica-teffe,17/02/0023,1 ajuste,10
18/02/2023 08:35:18,opticolor,18/02/0023,1 mola,20
18/02/2023 09:34:56,outlet-dos-oculos,18/02/0023,2 molas,40
18/02/2023 10:01:41,otica-central,18/02/0023,1 solda + 1 peça,18
18/02/2023 11:05:38,otica-visiolux,18/02/0023,1 solda + 1 limpeza,26
22/02/2023 07:50:37,otica-miraluz,18/02/0023,2 molas,40
22/02/2023 09:49:37,otica-prado,22/02/0023,1 limpeza,10
22/02/2023 11:49:06,parque-otica,22/02/0023,1 solda,16
22/02/2023 15:30:33,otica-prado,22/02/0023,1 conserto,16
22/02/2023 18:25:39,otica-zonatto,22/02/0023,1 mola + 1 conserto,36
22/02/2023 18:33:06,otica-visiolux,22/02/0023,1 mola,20
22/02/2023 18:44:46,top-vision,22/02/0023,2 molas + 1 conserto,56
22/02/2023 19:24:58,visao-araucaria,22/02/0023,os 2037 1 solda + os 2040 1 conserto + 1 peça + os 2042 1 mola,54
23/02/2023 09:54:29,otica-teffe,23/02/0023,1 ajuste,10
23/02/2023 12:13:34,laboratorio-universo,23/02/1923,1 mola,20
23/02/2023 13:15:19,preco-popular-duda-loja3,23/02/0023,1 solda + 1 peça,18
23/02/2023 14:09:41,otica-teffe,23/02/0023,1 conserto,16
23/02/2023 14:25:40,parque-otica,23/02/0023,1 mola,20
23/02/2023 17:06:27,otica-visiolux,23/02/0023,1 mola + 1 paraf,24
23/02/2023 17:14:39,preco-pop-fazenda,23/02/0023,1 mola,20
23/02/2023 17:26:14,preco-pop-fazenda,23/02/0023,1 mola,20
23/02/2023 18:47:09,outlet-dos-oculos,23/02/0023,1 mola,20
23/02/2023 19:02:06,preco-popular-cic,23/02/0023,1 solda + 1 peça,18
23/02/2023 19:22:17,otica-prado,23/02/0023,1 mola,20
24/02/2023 06:17:07,vista-alegre,23/02/0023,1 solda,16
24/02/2023 06:55:43,visao-araucaria,23/02/0023,os 2046 1 mola + os 2045 1 mola,40
24/02/2023 12:26:55,preco-popular-duda-loja3,24/02/0023,1 solda,16
24/02/2023 12:59:06,otica-ampla-visao,24/02/0023,1 solda + plaqueta RB,28
24/02/2023 13:18:13,outlet-dos-oculos,24/02/0023,1 solda + 1 peça,18
24/02/2023 14:07:01,otica-sao-braz,24/02/0023,1 mola,20
24/02/2023 19:05:03,otica-zonatto,24/02/0023,1 conserto + 1 peça,18
24/02/2023 19:18:04,otica-teffe,24/02/0023,1 mola + 1 solda,36
27/02/2023 08:23:32,otica-visiolux,25/02/0023,1 par de haste,25
27/02/2023 08:23:54,otica-perfil,25/02/0023,1 ajuste,10
27/02/2023 11:01:25,preco-popular-duda-loja3,27/02/0023,1 mola + 1 solda,36
27/02/2023 14:26:41,otica-marine,27/02/0023,1 ajuste,5
27/02/2023 14:33:59,otica-ampla-visao,27/02/0023,1 mola,20
27/02/2023 14:43:19,otica-teffe,27/02/0023,1 solda,16
27/02/2023 16:01:16,otica-prado,27/02/0023,1 ajuste,5
27/02/2023 16:10:35,opticolor,27/02/0023,1 solda,16
27/02/2023 16:27:29,preco-pop-fazenda,27/02/0023,1 solda + 1 peça,20
27/02/2023 17:56:01,preco-pop-alm-tamandare,27/02/0023,1 solda,16
27/02/2023 18:03:00,otica-visiolux,27/02/0023,3 ajustes + 1 ponteira,42
27/02/2023 18:36:15,otica-visoluz,27/02/0023,1 mola,20
27/02/2023 18:59:17,visao-araucaria,27/02/0023,os 2063 1 mola,20
27/02/2023 19:05:03,outlet-dos-oculos,27/02/0023,1 mola,20
27/02/2023 19:13:58,exame-visao,27/02/0023,1 mola,20
27/02/2023 19:43:36,otica-ampla-visao,27/02/0023,2 consertos,32
28/02/2023 07:34:53,opticolor,27/02/0023,1 conserto,16
28/02/2023 07:38:11,otica-perfil,27/02/0023,1 paraf,4
28/02/2023 07:47:04,otica-visiolux,27/02/0023,1 mola,20
28/02/2023 11:08:24,preco-popular-cic,28/02/0023,1 solda,16
28/02/2023 11:42:51,otica-clauss,28/02/0023,2 soldas + 1 peça,38
28/02/2023 14:06:12,otica-miraluz,28/02/0023,1 ajuste,10
28/02/2023 14:25:15,otica-marine,28/02/0023,1 mola,20
28/02/2023 14:51:46,outlet-dos-oculos,28/02/0023,1 ponteira,12
28/02/2023 14:56:17,estilo-visao,28/02/0023,1 conserto,16
28/02/2023 15:09:15,otica-teffe,28/02/0023,1 conserto,16
28/02/2023 15:17:30,outlet-dos-oculos,28/02/0023,1 conserto,16
28/02/2023 15:46:53,preco-pop-fazenda,28/02/0023,1 mola,20
28/02/2023 16:08:04,exame-visao,28/02/0023,1 solda,16
28/02/2023 16:47:13,klim-otica,28/02/0023,1 ponteira,12
28/02/2023 17:38:53,otica-ampla-visao,28/02/0023,1 solda,16
28/02/2023 17:51:39,outlet-dos-oculos,28/02/0023,2 consertos,32
28/02/2023 18:31:47,otica-perfil,28/02/0023,1 ajuste + 1 plaqueta,14
28/02/2023 18:42:05,parque-otica,28/02/0023,1 mola,20
28/02/2023 18:56:51,outlet-dos-oculos,28/02/0023,1 conserto + 1 ajuste,26
28/02/2023 19:34:54,otica-malosti,28/02/0023,1 solda + 1 peça + 1 paraf + 2 ajustes,40
28/02/2023 17:51:39,otica-ipanema,04/02/0023,1 conserto,16
28/02/2023 17:51:39,otica-ipanema,08/02/0023,1 ajuste + peça,16
28/02/2023 18:31:47,otica-ipanema,14/02/0023,1 par de haste,28
28/02/2023 18:42:05,otica-ipanema,22/02/0023,1 solda + 1peça,18
28/02/2023 18:56:51,otica-ipanema,24/02/0023,1 ajuste,5
28/02/2023 17:51:39,otica-viena,02/02/0023,os 460 1 solda,16
28/02/2023 17:51:39,otica-viena,16/02/0023,os 468 1 solda,16
28/02/2023 18:31:47,otica-viena,22/02/0023,os 469 1 conserto,16
28/02/2023 18:42:05,otica-viena,27/02/0023,os 471 1 mola,20